user_input,expected_output,retrieved_contexts
"Si ingreso mis credenciales de BancoEstado, ¿qué puedo ver o solicitar en la plataforma?","Al ingresar con tus credenciales de BancoEstado, podrás:

1. Visualizar si tienes una oferta hipotecaria disponible.
2. Solicitar una preaprobación de crédito hipotecario en línea.

¿Te gustaría conocer más detalles sobre cómo obtener una preaprobación hipotecaria?","['# Qué funcionalidades puedo acceder al registrar mis credenciales BancoEstado Una vez ingresaste con credenciales BancoEstado podrás visualizar si cuentas con una oferta hipotecaria disponible y/o solicitar una preaprobación en línea.', '# Si soy cliente del BancoEstado, ¿puedo ingresar con mis credenciales del banco? Sí, puedes ingresar a tu cuenta en CASAVERSO con tu RUT y clave internet con la que ingresas habitualmente a tu Banca en Línea.']"
¿Qué ocurre cuando envío una solicitud de aprobación de crédito hipotecario?,"Cuando envías una solicitud de aprobación de crédito hipotecario en nuestro portal, sucede lo siguiente:

Si tienes una Oferta Preaprobada o generaste una preaprobación en línea, y navegaste desde una propiedad disponible en nuestro Portal con entrega inmediata, tu solicitud será derivada automáticamente a:

1. Un ejecutivo de BancoEstado a cargo del proyecto
2. La inmobiliaria del proyecto 

Ambos te contactarán para avanzar en el proceso de tu crédito hipotecario.

¿Te gustaría conocer más detalles sobre cómo iniciar tu solicitud de crédito hipotecario?","['# Qué pasa cuando envío una solicitud de aprobación de crédito hipotecario SI cuentas con una Oferta Preaprobada o se generó una preaprobación en línea y, navegaste desde una propiedad disponible en el Portal con entrega inmediata, se derivará tu solicitud a un ejecutivo de BancoEstado a cargo del proyecto en el cual estas interesado y, a la inmobiliaria del proyecto para que te contacten y avanzar en el proceso.', '# Quién emite la solicitud de crédito hipotecario y cuál es su descripción La fuente del documento SOLICITUD DE CREDITO HIPOTECARIO es BancoEstado y es el Formulario proporcionado por el banco para la solicitud del crédito.']"
¿Qué hago si no recuerdo mi clave de BancoEnLínea y quiero entrar al portal Casaverso?,"Si no recuerdas tu clave de BancoEnLínea, debes recuperarla directamente en el sitio web de BancoEstado. Una vez que recuperes tu clave, podrás acceder sin problemas al portal Casaverso.

Ejemplo: Ingresa a la página web oficial de BancoEstado, busca la opción ""Recuperar clave"" y sigue los pasos indicados.

¿Te gustaría que te explique los pasos generales para recuperar tu clave?","['# Qué pasa si no recuerdo mis credenciales de la Bance en línea Debes ingresar al sitio web de BancoEstado y recuperar la clave Banco en línea y posterior a ello puedes acceder al portal CASAVERSO.', '# Si soy cliente del BancoEstado, ¿puedo ingresar con mis credenciales del banco? Sí, puedes ingresar a tu cuenta en CASAVERSO con tu RUT y clave internet con la que ingresas habitualmente a tu Banca en Línea.']"
k puedo entrar al casaverso con mi user y clave del banco?,"Sí, puedes ingresar a Casaverso con tu RUT y clave de internet que usas habitualmente en la Banca en Línea de BancoEstado. 

Es muy fácil: simplemente utiliza las mismas credenciales con las que accedes normalmente a tu cuenta bancaria online.

¿Necesitas ayuda para iniciar sesión o quieres saber más sobre cómo buscar propiedades en Casaverso?","['# Si soy cliente del BancoEstado, ¿puedo ingresar con mis credenciales del banco? Sí, puedes ingresar a tu cuenta en CASAVERSO con tu RUT y clave internet con la que ingresas habitualmente a tu Banca en Línea.', '# Cómo puedo crear una cuenta en CASAVERSO Para crear una cuenta, anda al menú lateral y marca la opción Iniciar sesión. En esta página puedes registrarte en la plataforma presionando el botón Registrarse en CASAVERSO. Tip: Si eres cliente BancoEstado, puedes abrir tu cuenta sin necesidad de registro. Simplemente ingresa tu RUT y la clave que usas en tu Banca en Línea para entrar a tu cuenta.']"
¿Cuánta antigüedad laboral necesito para poder solicitar un crédito hipotecario?,"La antigüedad laboral requerida para solicitar un crédito hipotecario varía según tu tipo de actividad o fuente de ingresos. 

Generalmente, los bancos solicitan una estabilidad laboral comprobable, pero los requisitos específicos dependerán de tu situación particular (trabajador dependiente, independiente, etc.).

¿Podrías contarme más sobre tu situación laboral actual para poder orientarte mejor sobre los requisitos de antigüedad?","['# Antigüedad y Situación Laboral para Solicitar Crédito Hipotecario La antigüedad laboral mínima requerida se encuentra en función de la actividad o tipo de ingreso del cliente. (diferencias en sitio público)', '# Rango de edad mínima y máxima para solicitar Crédito Hipotecario Edad Mínima de 18 años con un máximo de 72 años y 364 días, según el plazo del crédito, a saber, exigencia asociada al seguro de desgravamen: Plazo crédito hasta 8 años, edad máxima de ingreso 72 años con 364 días Plazo crédito hasta 12 años, edad máxima de ingreso 69 años con 364 días Plazo crédito hasta 15 años, edad máxima de ingreso 66 años con 364 días Plazo crédito hasta 20 años, edad máxima de ingreso 61 años con 364 días Plazo crédito hasta 25 años, edad máxima de ingreso 56 años con 364 días Plazo crédito hasta 30 años, edad máxima de ingreso 50 años con 364 días La edad máxima de']"
"Si tengo varios créditos y mi nivel de endeudamiento está alto, ¿puedo aun así solicitar un crédito del Banco Estado o me van a rechazar por no cumplir con el buen comportamiento y el nivel de deuda que piden?","Entiendo tu preocupación sobre solicitar un crédito con un nivel de endeudamiento alto. 

Según nuestros criterios de evaluación, el banco analiza tu comportamiento de pago y tu capacidad de endeudamiento. Si tienes varios créditos vigentes que representan un alto nivel de deuda, es probable que tu solicitud sea más compleja de aprobar.

Te recomiendo:
1. Revisar previamente tu comportamiento de pago en el sistema financiero
2. Verificar tu capacidad real de pago para un nuevo crédito
3. Considerar opciones como consolidar o refinanciar deudas antes de solicitar un nuevo préstamo

¿Te gustaría que te explique cómo podemos evaluar tu situación financiera para mejorar tus posibilidades de aprobación?","['# Buen comportamiento y endeudamiento Al momento de la evaluación, el o los solicitantes, deberán contar con un endeudamiento que permita al cliente asumir una obligación crediticia y un buen comportamiento de pago de sus obligaciones financieras. Los antecedentes de endeudamiento y comportamiento deben cumplirse al momento de presentar la solicitud, como también al momento de la resolución del crédito', 'Por ejemplo, un auto podría ser una necesidad, pero uno último modelo pasa a convertirse en un deseo. 2. ¿Es la única alternativa para adquirir lo que necesitas?Tal vez puedas alcanzar tus metas a través del ahorro, aunque te lleve un poco más de tiempo. 3. ¿Cuánto necesitas pedir?No te tientes con un saldo extra que te pueda meter en aprietos económicos a futuro. 4. ¿Cuánto puedes pagar mensualmente?Un nivel de endeudamiento ideal no sobrepasa el 30% del ingreso líquido familiar disponible. 5. ¿Puedes sostener el pago de una cuota de crédito durante un plazo determinado?Calcula lo que debes pagar y si puedes mantener tu flujo durante la duración del crédito.']"
"Oye, ¿cómo funciona eso de sumar la renta con otra persona para un crédito hipotecario y quiénes pueden ser codeudores?","La complementación de renta te permite sumar los ingresos con otra persona para obtener un crédito hipotecario. Hay dos modalidades principales:

1. Con familiares directos (cónyuge, conviviente, padres, hermanos o hijos): Ambos son responsables del crédito y se suman sus ingresos.

2. Con un tercero sin vínculo familiar: También pueden complementar renta, asumiendo ambos la responsabilidad del crédito.

Un detalle importante es que para créditos con subsidio, solo puede haber un comprador, que debe ser el beneficiario del subsidio o su cónyuge.

¿Te gustaría que te explique más sobre cómo funciona la evaluación de ingresos en un crédito hipotecario?","['# Complementación de Renta Crédito Hipotecario Para complementar renta puedes sumar tus ingresos con los de otra persona, familiar o no familiar, y se considerará la capacidad de pago de ambos solicitantes de manera conjunta e individualmente. Esto quiere decir que se considera la suma de los compromisos financieros de ambos para definir la capacidad de pago. En este caso, ambos participantes deudor y codeudor o segundo titular, asumen la condición de deudores. Es decir, ambos tienen la responsabilidad del pago del crédito. En la complementación de renta con un comprador o codeudor cónyuge, conviviente civil, pareja con hijo en común o familiar directo por consanguinidad (padres, hermanos o hijos).', '# ¿Puedo complementar renta con un codeudor? Se puede complementar renta con un codeudor o con 2 o mas compradores, todos los participantes deben cumplir con las políticas comerciales y de riesgo vigente en BancoEstado.']"
¿Cuál es el porcentaje máximo de financiamiento que me pueden otorgar y en qué casos llega al 90%?,"Según nuestros criterios de financiamiento hipotecario, podemos ofrecerte:

• Hasta 80% de financiamiento como regla general
• Hasta 90% de financiamiento SOLO en casos específicos:
- Primera vivienda (nueva o usada)
- Compra con Fondo de Garantía Estatal (FOGAES)

El porcentaje se calcula tomando el menor valor entre el precio de venta y la tasación del inmueble.

¿Te gustaría que te explique más sobre los requisitos para acceder al 90% de financiamiento?","['# ¿Se puede financiar cualquier porcentaje del valor de la vivienda? Se puede financiar hasta el 90% del valor de la propiedad (menor valor entre la tasación y precio de venta de la vivienda).', '# Financiamiento para Solicitar Crédito Hipotecario Financiamiento hasta 80%. Financiamiento hasta el 90% sólo para adquisición de primera vivienda, nueva o usada y compra con Fondo de Garantía Estatal (FOGAES). Para definir el porcentaje de financiamiento se tomará el menor monto entre el precio de venta y el valor de tasación del bien. Para determinar el valor de propiedades con venta en verde, se tomará el menor valor entre la venta en verde y la tasación estimada del bien']"
"¿Qué pasa si estoy en el Registro Nacional de Deudores de Pensiones de Alimentos al pedir un crédito, me revisan según la nueva ley 21.389?","Sí, según la Ley 21.389, si estás registrado en el Registro Nacional de Deudores de Pensiones de Alimentos, el banco revisará tu situación durante todo el proceso de solicitud de crédito. 

Esta verificación puede afectar tu evaluación crediticia, ya que el banco considerará tu condición de deudor de pensiones alimenticias al momento de analizar tu solicitud.

¿Te gustaría conocer más detalles sobre cómo esta ley podría impactar tu solicitud de crédito?","['# Ley 21.389 de Pensiones El Banco revisará durante todo el proceso del crédito si el cliente se encuentra en el Registro Nacional de Deudores de Pensiones de Alimentos para evaluar si corresponde aplicar las indicaciones de la Normativa Implementación de la nueva ley 21.389 en Registro Deudores Pensión Alimenticia.', 'Cliente no debe estar inscrito en el Registro Nacional de Deudores de Pensión de Alimentos que Regula la Ley N°21.389. Cumplir con las políticas de evaluación comercial y de riesgo definidas por el Banco.']"
"Oye, ¿tengo que ser chileno para pedir un crédito hipotecario o me vale si soy extranjero con residencia definitiva?","Puedes solicitar un crédito hipotecario si eres chileno o extranjero con permanencia definitiva en Chile. Lo importante es cumplir con los requisitos comerciales y normativos que establece el banco.

Un ejemplo sería: si eres un extranjero con residencia definitiva y cumples con los requisitos financieros, podrás postular al crédito.

¿Te gustaría conocer más detalles sobre los requisitos específicos para obtener un crédito hipotecario?","['# Nacionalidad para Solicitar Crédito Hipotecario Chilena o extranjera con permanencia definitiva. Sujeto a cumplimiento de requisitos comerciales y normativos vigentes a la fecha de otorgamiento.', '# ¿Puedo solicitar un crédito hipotecario si tengo ingresos en el extranjero? Una persona con ingresos percibidos en el extranjero (chilenos en el exterior), puede solicitar un crédito hipotecario siempre que los ingresos declarados se encuentren visados ante el Consulado de Chile correspondiente al país de residencia del cliente. Deberá presentar certificado de ingresos percibidos en el extranjero (declaración de impuesto o similar) Si tiene boletas de honorarios de últimos 6 meses, o contrato de trabajo.']"
kiero saber si puedo usar deuda de bancoestado pa el pie del hipotecario,"Parece que hay un error en tu consulta. Según nuestra información, no puedes usar deuda de BancoEstado para el pie de un crédito hipotecario. 

El pie (cuota inicial) debe ser aportado con recursos propios, lo que significa dinero que ya tienes ahorrado y no corresponde a un préstamo adicional.

¿Te gustaría que te explique algunas estrategias para ahorrar el pie de tu primera vivienda?","['# ¿Puedo usar una tasación de otro banco? BancoEstado al igual que otros bancos requiere realizar su propia tasación, ya que cada entidad tiene criterios específicos de valoración. Por lo anterior no será valida una tasación de otra entidad para llevar a cabo el proceso de venta de un crédito hipotecario.', '# Pie para solicitar Crédito Hipotecario El pie (cuota contado) debe ser aportado con recursos propios y no debe corresponder a endeudamiento en BancoEstado u otras instituciones financieras.']"
"Si tengo 58 años y quiero un crédito hipotecario a 15 años, ¿puedo postular o supero el límite de edad?","Según la información proporcionada, lamentablemente no podrías postular a un crédito hipotecario a 15 años si tienes 58 años.

Para créditos con plazo de hasta 15 años, la edad máxima de ingreso es de 66 años con 364 días. Como tienes 58 años, superarías el límite de edad al final del crédito (58 + 15 = 73 años), lo cual excede la edad máxima de permanencia de 81 años y 364 días.

¿Te gustaría explorar otras opciones de crédito con un plazo más corto que se ajuste a tu edad?","['# Rango de edad mínima y máxima para solicitar Crédito Hipotecario Edad Mínima de 18 años con un máximo de 72 años y 364 días, según el plazo del crédito, a saber, exigencia asociada al seguro de desgravamen: Plazo crédito hasta 8 años, edad máxima de ingreso 72 años con 364 días Plazo crédito hasta 12 años, edad máxima de ingreso 69 años con 364 días Plazo crédito hasta 15 años, edad máxima de ingreso 66 años con 364 días Plazo crédito hasta 20 años, edad máxima de ingreso 61 años con 364 días Plazo crédito hasta 25 años, edad máxima de ingreso 56 años con 364 días Plazo crédito hasta 30 años, edad máxima de ingreso 50 años con 364 días La edad máxima de', '# ¿Cuál es la edad mínima y máxima para contratar un Crédito Hipotecario? La edad mínima para solicitarlo es de 18 años, y la máxima de 72 años con 364 días (considerando un plazo del crédito de 8 años). La edad máxima de permanencia para efecto del seguro de desgravamen es de 81 años con 364 días. Se debe tener en cuenta que la edad de ingreso más el plazo del crédito, no debe superar la edad de permanencia.']"
¿Cuál es el ingreso líquido mínimo que debo tener para solicitar un crédito hipotecario y qué opciones hay si lo complemento con un codeudor?,"Para solicitar un crédito hipotecario, necesitas tener un sueldo líquido de al menos $600.000. Sin embargo, tienes opciones para complementar tu renta:

1. Puedes agregar un codeudor (con o sin vínculo familiar) para sumar ingresos.
2. La renta combinada debe ser mayor o igual a $900.000 líquidos.
3. El titular principal siempre debe mantener un ingreso mínimo de $600.000.

Ejemplo: Si ganas $500.000, un codeudor que aporte $400.000 podría ayudarte a calificar.

¿Te gustaría que te explique más sobre cómo funciona la evaluación de un crédito hipotecario?","['# Renta líquida Mínima para Solicitar Crédito Hipotecario Sueldo líquido mayor o igual a $600.000 con opción de complementar renta con un codeudor, con o sin vínculo, o segundo comprador. Sujeto a evaluación comercial y de riesgo vigente al momento de otorgamiento del crédito. Opción de complementar renta con un codeudor, con o sin vínculo, o un segundo o tercer comprador. La renta de ambos ingresos debe ser mayor o igual a $900.000 pesos líquidos. Para complementación de renta, el titular del crédito debe cumplir con la renta mínima de $600.000. Sujeto a evaluación comercial y de riesgo vigente al momento de otorgamiento del crédito.', '# Requisitos para obtener un crédito hipotecario Requisitos para obtener un crédito hipotecario: Mayor de 18 años. Nacionalidad chilena o extranjera con permanencia definitiva. Antecedentes comerciales de acuerdo con la Política Crediticia del Banco. Acreditar domicilio. Acreditar cuota contado (pie) requerida para optar al financiamiento hipotecario. Si eres trabajadores dependientes debes acreditar una antigüedad laboral de a lo menos 1 año. Si eres trabajador Independiente con título profesional, debes tener a lo menos 1 año desde la Iniciación de Actividades y, con título técnico, comisionista u otra prestación de servicios, debes tener a lo menos 2 años desde la Iniciación de Actividades.']"
kiero saber q docu guardr pa mis gastos mensuales,"Entiendo que quieres saber qué documentos guardar para tus gastos mensuales. Aquí te doy algunos consejos:

Debes guardar:
1. Boletas de compras
2. Comprobantes de pagos por internet
3. Facturas de servicios (luz, agua, gas)
4. Comprobantes de gastos de tu negocio o emprendimiento

Te recomiendo:
• Usar una carpeta o archivador con separadores por mes
• Crear una sección para ""compras"" 
• Escanear boletas que se puedan borrar con el tiempo
• Mantener separados los gastos personales de los del negocio

¿Te gustaría que te explique cómo organizar estos documentos de manera más práctica?","['Es clave que conozcas detalladamente todos tus gastos y tus ingresos. Por un lado, es fácil conocer tus ingresos, porque esperas que llegue ese monto todos los meses, sin embargo, la tarea que se hace más difícil es reconocer cada uno de nuestros gastos. Muchas veces no notamos la enorme cantidad de gastos que vamos generando, perdiendo el control de estos. Lo que te recomendamos es ir haciendo un registro de cada uno de tus gastos. Si eres más de papel y lápiz, toma nota en una libreta; o si prefieres, una excelente alternativa es descargar una aplicación para tu celular que te permita ordenar tus finanzas. El propósito de contar con este registro es que cada mes tengas conocimiento de los gastos que generas normalmente.', '# Qué documentos debes guardar para mantener en orden tus gastos Llevar un orden de nuestros gastos para mantener controladas nuestras finanzas no es fácil, pero tampoco es imposible, es cuestión de hacernos el hábito y poner en práctica algunos consejos: Mantén una carpeta o archivador, con separadores por mes: Mantén todos tus documentos que tienen que ver con tus finanzas juntos, reúne todos los archivos en un solo lugar. Si no puedes encontrar tus cuentas, no podrás pagarlas a tiempo. Cualquier cuenta que te llegue, anota en tu agenda el pago que deberás hacer en la fecha indicada, y guarda el comprobante en la carpeta de las cuentas pendientes. Si usas el servicio bancario de Internet.']"
"Oye, ¿qué pasa si me atraso con los pagos de un crédito? ¿Me afecta a mí y al aval?","Sí, atrasarte con los pagos de un crédito puede tener consecuencias importantes tanto para ti como para tu aval:

1. Gastos adicionales: Cuando te atrases, comenzarán a generarse intereses de mora y costos de cobranza que se sumarán a tu deuda original.

2. Impacto en el aval: Si tienes un aval (generalmente un familiar o amigo), él también se verá afectado y podría tener que responder por tu deuda.

3. Historial crediticio: Los atrasos quedarán registrados en tu historial crediticio, lo que dificultará que puedas obtener nuevos créditos en el futuro.

¿Te gustaría que te explique cómo prevenir estos problemas y mantener un buen comportamiento de pago?","['Incurrir en gastos adicionalesCuando las entidades financieras detectan atrasos en el pago de la deuda se inicia el cobro de intereses de mora y en etapas posteriores el proceso de cobranza prejudicial. En la gran mayoría de las ocasiones, las entidades financieras contratan servicios de empresas especializadas en estos procesos y dichos costos son asumidos por el usuario y se le cargan a la deuda. 2. Implicar a otros (Aval)Atrasarse en los pagos puede afectar adicionalmente al Aval. Es decir, a la persona que se comprometió a responder por el compromiso, comúnmente un familiar o amigo cercano. 3.', 'Es decir, a la persona que se comprometió a responder por el compromiso, comúnmente un familiar o amigo cercano. 3. Afectar historial crediticioPara otorgar créditos, las instituciones financieras evalúan el comportamiento de pago de las personas, por lo que estar en los registros de morosidad podría impedir contar con el dinero de un crédito nuevo cuando lo requieras. Por eso es importante mantener una situación financiera saludable.']"
